"region"	"celltype"	"number"	"SN_MN_IN"	"sum_cells"
"340"	"sg1"	"MS5"	2	"Sensory neuron"	2
"341"	"sg1"	"SN-ASTC"	0	"Sensory neuron"	2
"342"	"sg1"	"SN-DLSO3-PDF"	0	"Sensory neuron"	2
"343"	"sg1"	"SN-MIP4"	0	"Sensory neuron"	2
"344"	"sg1"	"SN-MIP1"	0	"Sensory neuron"	2
"345"	"sg1"	"SN-WLD"	0	"Sensory neuron"	2
"346"	"sg1"	"SNbicil"	0	"Sensory neuron"	2
"347"	"sg1"	"hPUc1"	0	"Sensory neuron"	2
"348"	"sg1"	"pygCirrusPUSM"	0	"Sensory neuron"	2
"349"	"sg1"	"SN-DLSO1.0"	0	"Sensory neuron"	2
"350"	"sg1"	"SN-NS1"	0	"Sensory neuron"	2
"351"	"sg1"	"SN-NS3"	0	"Sensory neuron"	2
"352"	"sg1"	"SN-NS15"	0	"Sensory neuron"	2
"353"	"sg1"	"SNPDF-pyg"	0	"Sensory neuron"	2
"354"	"sg1"	"SN-NS22"	0	"Sensory neuron"	2
"355"	"sg1"	"SN-NS5"	0	"Sensory neuron"	2
"356"	"sg1"	"SN-NS17"	0	"Sensory neuron"	2
"357"	"sg1"	"SN-NS19"	0	"Sensory neuron"	2
"358"	"sg1"	"SN-NS20"	0	"Sensory neuron"	2
"359"	"sg1"	"SN-NS29"	0	"Sensory neuron"	2
"360"	"sg1"	"SN-NS27"	0	"Sensory neuron"	2
"361"	"sg1"	"SN-NS18"	0	"Sensory neuron"	2
"362"	"sg1"	"SN-NS16"	0	"Sensory neuron"	2
"363"	"sg1"	"SNadNS22"	0	"Sensory neuron"	2
"364"	"sg1"	"SNblunt"	0	"Sensory neuron"	2
"365"	"sg1"	"SNbronto"	0	"Sensory neuron"	2
"366"	"sg1"	"SNpygM"	0	"Sensory neuron"	2
"367"	"sg1"	"SN-DLSO1.1NP"	0	"Sensory neuron"	2
"368"	"sg1"	"SNtorii"	0	"Sensory neuron"	2
"369"	"sg1"	"SNtrpa"	0	"Sensory neuron"	2
"370"	"sg2"	"SNnuchBx"	0	"Sensory neuron"	2
"371"	"sg2"	"SNgolden"	0	"Sensory neuron"	2
"372"	"sg2"	"SNhorn"	0	"Sensory neuron"	2
"373"	"sg2"	"SNhook"	0	"Sensory neuron"	2
"374"	"sg2"	"SNlasso"	0	"Sensory neuron"	2
"375"	"sg2"	"SNMIP-vc"	0	"Sensory neuron"	2
"376"	"sg2"	"SNmus"	0	"Sensory neuron"	2
"377"	"sg2"	"SNantlerPDF"	0	"Sensory neuron"	2
"378"	"sg2"	"SNPDF-dc"	0	"Sensory neuron"	2
"379"	"sg2"	"SN0DLSO1.2-4"	0	"Sensory neuron"	2
"380"	"sg2"	"SN-DLSO1.2-1"	0	"Sensory neuron"	2
"381"	"sg2"	"eyespot-PRCR3"	0	"Sensory neuron"	2
"382"	"sg2"	"eyespot-PRCR1"	0	"Sensory neuron"	2
"383"	"sg2"	"MS4"	0	"Sensory neuron"	2
"384"	"sg2"	"MS3"	0	"Sensory neuron"	2
"385"	"sg2"	"MS5"	0	"Sensory neuron"	2
"386"	"sg2"	"SN-ASTC"	0	"Sensory neuron"	2
"387"	"sg2"	"SN-DLSO3-PDF"	0	"Sensory neuron"	2
"388"	"sg2"	"SN-MIP4"	0	"Sensory neuron"	2
"389"	"sg2"	"SN-MIP1"	0	"Sensory neuron"	2
"390"	"sg2"	"SN-WLD"	0	"Sensory neuron"	2
"391"	"sg2"	"SNbicil"	0	"Sensory neuron"	2
"392"	"sg2"	"hPUc1"	0	"Sensory neuron"	2
"393"	"sg2"	"pygCirrusPUSM"	0	"Sensory neuron"	2
"394"	"sg2"	"SN-DLSO1.0"	0	"Sensory neuron"	2
"395"	"sg2"	"SN-NS1"	0	"Sensory neuron"	2
"396"	"sg2"	"SN-NS3"	0	"Sensory neuron"	2
"397"	"sg2"	"SN-NS15"	0	"Sensory neuron"	2
"398"	"sg2"	"SNPDF-pyg"	0	"Sensory neuron"	2
"399"	"sg2"	"SN-NS22"	0	"Sensory neuron"	2
"400"	"sg2"	"SN-NS5"	0	"Sensory neuron"	2
"401"	"sg2"	"SN-NS17"	0	"Sensory neuron"	2
"402"	"sg2"	"SN-NS19"	0	"Sensory neuron"	2
"403"	"sg2"	"SN-NS20"	0	"Sensory neuron"	2
"404"	"sg2"	"SN-NS29"	0	"Sensory neuron"	2
"405"	"sg2"	"SN-NS27"	0	"Sensory neuron"	2
"406"	"sg2"	"SN-NS18"	0	"Sensory neuron"	2
"407"	"sg2"	"SN-NS16"	0	"Sensory neuron"	2
"408"	"sg2"	"SNadNS22"	0	"Sensory neuron"	2
"409"	"sg2"	"SNblunt"	0	"Sensory neuron"	2
"410"	"sg2"	"SNbronto"	0	"Sensory neuron"	2
"411"	"sg2"	"SNpygM"	0	"Sensory neuron"	2
"412"	"sg2"	"SN-DLSO1.1NP"	0	"Sensory neuron"	2
"413"	"sg2"	"SNtorii"	0	"Sensory neuron"	2
"414"	"sg2"	"SNtrpa"	0	"Sensory neuron"	2
"415"	"sg3"	"SNnuchBx"	0	"Sensory neuron"	2
"416"	"sg3"	"SNgolden"	0	"Sensory neuron"	2
"417"	"sg3"	"SNhorn"	0	"Sensory neuron"	2
