"pre_skid"	"names"	"presyn_class"	"postsyn_class"	"num_occurrences"	"presyn_color"	"num_class_target"
"313"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"314"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"315"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"316"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"317"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"318"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"319"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"320"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"321"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"322"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"323"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"324"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"325"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"326"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"327"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"328"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"329"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"330"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"331"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"332"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"333"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"334"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"335"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"336"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"337"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
