"left"	"right"	"correlation"
"277"	"IN1 left"	"SN-NS15 right"	-0.00933818979937769
"278"	"IN1 left"	"SNaant right"	-0.0121581883525726
"279"	"IN1 left"	"SNPDF-pyg right"	-0.0125358954628242
"280"	"IN1 left"	"INfoot right"	-0.011307173041993
"281"	"IN1 left"	"INW right"	0.0674277404444967
"282"	"IN1 left"	"INmidL right"	-0.0101348040234768
"283"	"IN1 left"	"INhook right"	-0.00805015012507914
"284"	"IN1 left"	"INMBtype6 right"	-0.0150162197145599
"285"	"IN1 left"	"INMBtype5 right"	0.00702067286685477
"286"	"IN1 left"	"INMBtype7 right"	-0.0141619633856138
"287"	"IN1 left"	"INcross right"	-0.0104840835488616
"288"	"IN1 left"	"INpro right"	-0.0153885998665359
"289"	"IN1 left"	"INproT2 right"	-0.0140003324632268
"290"	"IN1 left"	"INpear right"	-0.00759267782829782
"291"	"IN1 left"	"INZ right"	-0.0170589332346349
"292"	"IN1 left"	"MNpostv right"	-0.00820023383070389
"293"	"IN1 left"	"SN-NS22 right"	0.0471061613572289
"294"	"IN1 left"	"SN-NS5 right"	-0.015532316860678
"295"	"IN1 left"	"SN-NS17 right"	-0.0018942592950157
"296"	"IN1 left"	"SN-NS19 right"	0.00138614869156502
"297"	"IN1 left"	"SN-NS20 right"	-0.0127013932828186
"298"	"IN1 left"	"SN-NS29 right"	-0.0103968074614625
"299"	"IN1 left"	"SN-NS27 right"	-0.0131329795592944
"300"	"IN1 left"	"SN-NS18 right"	-0.00847889278910205
"301"	"IN1 left"	"SN-NS16 right"	-0.00929214108532162
"302"	"IN1 left"	"INbigloop right"	-0.00820515675843994
"303"	"IN1 left"	"SNadNS22 right"	-0.0101348040234768
"304"	"IN1 left"	"Ser-tr1 right"	-0.00939247373034133
"305"	"IN1 left"	"SNFVa right"	-0.0116842501555684
"306"	"IN1 left"	"INUturn right"	-0.000970092149633383
"307"	"IN1 left"	"INcomm-Upstairs right"	-0.0120435068198617
"308"	"IN1 left"	"INasc-pyg right"	-0.0118511453958586
"309"	"IN1 left"	"SNblunt right"	0.00629079868869463
"310"	"IN1 left"	"INsplitBronto right"	-0.00867769961280184
"311"	"IN1 left"	"INleucoPU right"	-0.0136030432614911
"312"	"IN1 left"	"MNladder right"	-0.0119700150151809
"313"	"IN1 left"	"INdecussfoot right"	-0.0136584468015126
"314"	"IN1 left"	"INdecusshook right"	-0.0118478638350855
"315"	"IN1 left"	"INpreLadder right"	-0.0131329795592944
"316"	"IN1 left"	"INcomm-Upcross right"	-0.0152300139121835
"317"	"IN1 left"	"MNacic right"	-0.0136030432614911
"318"	"IN1 left"	"INsplitVent right"	-0.0161605278161055
"319"	"IN1 left"	"INcomm-DownL right"	-0.00757520709732863
"320"	"IN1 left"	"MNarm right"	-0.0153094918125991
"321"	"IN1 left"	"INlasso-postSN right"	-0.015303215746463
"322"	"IN1 left"	"MNantacic right"	-0.0114855788488129
"323"	"IN1 left"	"MNpostacic right"	-0.00835430431910724
"324"	"IN1 left"	"SN-DLSO1.3 right"	-0.00165614607472169
"325"	"IN1 left"	"MNakro right"	-0.0178460083521958
"326"	"IN1 left"	"MNchae right"	0.0373118139843449
"327"	"IN1 left"	"MNgland-head right"	-0.0102388654938128
"328"	"IN1 left"	"SNstiff right"	0.396762072220272
"329"	"IN1 left"	"SNbronto right"	-0.0101348040234768
"330"	"IN1 left"	"INcommascFV right"	-0.0115272327900982
"331"	"IN1 left"	"SNpygM right"	-0.00804779256084057
"332"	"IN1 left"	"INR1 right"	-0.0148974520397455
"333"	"IN1 left"	"SN-DLSO1.1NP right"	-0.0124473671286644
"334"	"IN1 left"	"SN-DLSO1.1 right"	-0.0129015884714492
"335"	"IN1 left"	"INmus right"	-0.00993585829940832
"336"	"IN1 left"	"INdescLuqinPDF right"	-0.00782639270821655
"337"	"IN1 left"	"INcosplit right"	-0.0118109115820357
"338"	"IN1 left"	"INcommdescFVa right"	-0.00906205017079315
"339"	"IN1 left"	"MNheadV right"	-0.0136584468015126
"340"	"IN1 left"	"INbiaxHmid right"	-0.0136030432614911
"341"	"IN1 left"	"MNantelope right"	0.00248686326667576
"342"	"IN1 left"	"MNsmile right"	0.00499916286061871
"343"	"IN1 left"	"INhorn right"	0.0887497753746744
"344"	"IN1 left"	"INMBPDF right"	-0.00845425007940045
"345"	"IN1 left"	"INMBdescFMRF right"	-0.00937552579290532
"346"	"IN1 left"	"INDLSO right"	0.107632675979802
"347"	"IN1 left"	"SNtorii right"	-0.0113351916385142
"348"	"IN1 left"	"INexsn right"	-0.00812366086525203
"349"	"IN1 left"	"MBmouth right"	0.101630631455729
"350"	"IN1 left"	"SNtrpa right"	-0.00987247554446632
"351"	"IN1 left"	"INtorii right"	-0.00824486468794252
"352"	"IN1 left"	"INUturnMB right"	-0.00697516283076648
"353"	"IN1 left"	"INface right"	-0.00881338592587535
"354"	"IN1 left"	"INMBdesc3 right"	0.003445873200067
"355"	"IN1 left"	"INMBdesc2 right"	0.0384925535269958
"356"	"IN1 left"	"INpara right"	-0.0138619881598617
"357"	"IN1 left"	"INMBtype9 right"	-0.0119145870646512
"358"	"IN1 left"	"INMBtype2 right"	0.97943890159631
"359"	"IN1 left"	"INdecussM right"	0.40747719168081
"360"	"IN1 left"	"INiaStiff right"	-0.0117245173949664
"361"	"IN1 left"	"INmantis right"	0.0259134220276375
"362"	"IN1 left"	"INsplitSpin right"	-0.00777121755680994
"363"	"INton left"	"PRC right"	-0.0129763390537078
"364"	"INton left"	"IN1 right"	0.034876775411966
"365"	"INton left"	"INton right"	0.872031815285659
"366"	"INton left"	"INpreSer right"	0.703010483755858
"367"	"INton left"	"cPRC right"	0.865155657155918
"368"	"INton left"	"INRGWa right"	0.134316323249352
"369"	"INton left"	"INNOS right"	0.511666415173522
"370"	"INton left"	"Ser-h1 right"	0.053224258647184
"371"	"INton left"	"SNnuchPDF right"	-0.00947207625065681
"372"	"INton left"	"SNnuchBx right"	-0.00796281661974688
"373"	"INton left"	"SNgolden right"	0.0386258153402182
"374"	"INton left"	"SNhorn right"	0.0687494441747188
"375"	"INton left"	"SNhook right"	-0.0123379735722084
"376"	"INton left"	"MNant right"	-0.0171966747438511
"377"	"INton left"	"SNlasso right"	-0.0141602369630392
"378"	"INton left"	"INlasso right"	-0.0143321741826487
"379"	"INton left"	"INdecussPre right"	-0.0119374518204086
"380"	"INton left"	"INpreMN right"	-0.0151569623978358
"381"	"INton left"	"SNMIP-vc right"	-0.0110780387901063
"382"	"INton left"	"SNmus right"	-0.0139480692767096
"383"	"INton left"	"SNantlerPDF right"	-0.0176866083469479
"384"	"INton left"	"SNPDF-dc right"	-0.0158950260363609
"385"	"INton left"	"SN0DLSO1.2-4 right"	-0.0175148837960598
"386"	"INton left"	"SN-DLSO1.2-3 right"	-0.0120470639120358
"387"	"INton left"	"SN-DLSO1.2-1 right"	-0.0180065965923453
"388"	"INton left"	"SN-DLSO2 right"	-0.013337388112279
"389"	"INton left"	"SNMB2 right"	-0.0147374736266801
"390"	"INton left"	"eyespot-PRCR3 right"	-0.01427696154466
"391"	"INton left"	"eyespot-PRCR1 right"	-0.0188136241359567
"392"	"INton left"	"MS3 right"	-0.0166921669728451
"393"	"INton left"	"MS5 right"	-0.00901591371315992
"394"	"INton left"	"SN-ASTC right"	-0.0156503835595424
"395"	"INton left"	"SN-DLSO3-PDF right"	-0.00966898099216478
"396"	"INton left"	"SN-DLSO3 right"	-0.0201389289983418
"397"	"INton left"	"SN-MIP4 right"	-0.00796281661974688
"398"	"INton left"	"SN-MIP1 right"	-0.0142784404006568
"399"	"INton left"	"MNspinning right"	-0.0128250184967766
"400"	"INton left"	"SN-WLD right"	-0.0165922441770454
"401"	"INton left"	"SN-DSO right"	-0.019171566276976
"402"	"INton left"	"SNbicil right"	-0.0103704913831348
"403"	"INton left"	"INCrossbow right"	-0.013063846513769
"404"	"INton left"	"INarc1 right"	-0.0135078258388306
"405"	"INton left"	"INarc2 right"	0.470758544659075
"406"	"INton left"	"INsn right"	-0.0204536506591056
"407"	"INton left"	"INrope right"	-0.0189804529554812
"408"	"INton left"	"Loop right"	-0.0175660684888613
"409"	"INton left"	"INCM right"	-0.0162302799064782
