"annotation1"	"annotation2"	"number"
"520"	"Apical_organ"	"sensory_neurosecretory_neuron"	32
"521"	"Apical_organ"	"interneuron"	8
"522"	"Apical_organ"	"premotor"	4
"523"	"Apical_organ"	"motorneuron"	0
"524"	"Apical_organ"	"ciliomotors"	0
"525"	"Apical_organ"	"rhabdomeric photoreceptor"	0
"526"	"Apical_organ"	"ciliary photoreceptor"	4
"527"	"Apical_organ"	"sensory_cilia"	35
"528"	"Apical_organ"	"Uniciliated_penetrating_cell"	0
"529"	"Apical_organ"	"Biciliated_penetrating_cell"	0
"530"	"Apical_organ"	"Uniciliated_nonpenetrating_cell"	16
"531"	"Apical_organ"	"Biciliated_nonpenetrating_cell"	1
"532"	"Apical_organ"	"Multiciliated_penetrating_cell"	0
"533"	"Apical_organ"	"dense cored vesicles"	43
"534"	"Apical_organ"	"asymmetric neuron"	3
"535"	"Apical_organ"	"biaxonal"	0
"536"	"Apical_organ"	"decussating"	0
"537"	"Apical_organ"	"commissural"	0
"538"	"Apical_organ"	"ipsilateral"	8
"539"	"Apical_organ"	"contralateral"	28
"540"	"Apical_organ"	"pseudounipolar"	0
"541"	"Apical_organ"	"descending"	0
"542"	"Apical_organ"	"ascending"	0
"543"	"Apical_organ"	"global_reach"	0
"544"	"Apical_organ"	"head_trunk"	0
"545"	"Apical_organ"	"siGOLD"	4
"546"	"Apical_organ"	"glutamatergic"	0
"547"	"Apical_organ"	"serotonergic"	0
"548"	"Apical_organ"	"cholinergic"	0
"549"	"Apical_organ"	"adrenergic"	0
"550"	"Apical_organ"	"dopaminergic"	0
"551"	"Dorsal_sensory_organ"	"ectoderm"	39
"552"	"Dorsal_sensory_organ"	"episphere"	39
"553"	"Dorsal_sensory_organ"	"segment_0"	0
"554"	"Dorsal_sensory_organ"	"segment_1"	0
"555"	"Dorsal_sensory_organ"	"segment_2"	0
"556"	"Dorsal_sensory_organ"	"segment_3"	0
"557"	"Dorsal_sensory_organ"	"torso"	0
"558"	"Dorsal_sensory_organ"	"pygidium"	0
"559"	"Dorsal_sensory_organ"	"neurosecretory_plexus"	0
"560"	"Dorsal_sensory_organ"	"mushroom body"	0
"561"	"Dorsal_sensory_organ"	"Apical_organ"	0
"562"	"Dorsal_sensory_organ"	"Dorsal_sensory_organ"	39
"563"	"Dorsal_sensory_organ"	"Dorsolateral_sense_organs"	0
"564"	"Dorsal_sensory_organ"	"antenna"	0
"565"	"Dorsal_sensory_organ"	"eyespot"	0
"566"	"Dorsal_sensory_organ"	"mechanosensory_girdle"	12
"567"	"Dorsal_sensory_organ"	"nuchal organ"	0
"568"	"Dorsal_sensory_organ"	"Sensory neuron"	39
"569"	"Dorsal_sensory_organ"	"sensory_motor_neuron"	0
"570"	"Dorsal_sensory_organ"	"sensory_neurosecretory_neuron"	0
"571"	"Dorsal_sensory_organ"	"interneuron"	0
"572"	"Dorsal_sensory_organ"	"premotor"	0
"573"	"Dorsal_sensory_organ"	"motorneuron"	0
"574"	"Dorsal_sensory_organ"	"ciliomotors"	0
"575"	"Dorsal_sensory_organ"	"rhabdomeric photoreceptor"	0
"576"	"Dorsal_sensory_organ"	"ciliary photoreceptor"	0
"577"	"Dorsal_sensory_organ"	"sensory_cilia"	15
