"skid"	"annotation"	"id"	"uid"
"502"	421537	"dense cored vesicles"	1224657	11
"503"	421537	"yyx"	1883308	13
"504"	421537	"no soma siGOLD"	1314386	7
"505"	421537	"luqin_positive_neurons"	1279927	16
"506"	421537	"immunogold"	940607	16
"507"	421537	"right"	1272647	16
"508"	422892	"fragmentum"	2069834	11
"509"	422892	"left_side"	2054472	11
"510"	422892	"fragment"	2029624	11
"511"	422892	"dense cored vesicles"	1224657	11
"512"	422892	"yyx"	1883308	13
"513"	422892	"no soma siGOLD"	1314386	7
"514"	422892	"luqin_positive_neurons"	1279927	16
"515"	422892	"left"	1275210	16
"516"	422892	"immunogold"	940607	16
"517"	431756	"fragmentum"	2069834	11
"518"	431756	"yyx"	1883308	13
"519"	434614	"fragmentum"	2069834	11
"520"	434614	"yyx"	1883308	13
"521"	436862	"fragmentum"	2069834	11
"522"	436862	"yyx"	1883308	13
"523"	442258	"dense cored vesicles"	1224657	16
"524"	442258	"immunogold"	940607	16
"525"	442258	"important fragment"	1859900	16
"526"	442258	"left_side"	2054472	11
"527"	442258	"fragment"	2029624	11
"528"	442258	"leucokinin_positive_neurons"	1279911	16
"529"	442258	"yyx"	1883308	13
"530"	442258	"connectome_frag"	2454845	11
"531"	442258	"connectome"	2450493	11
"532"	442258	"connectome_old"	2447951	11
"533"	442258	"fragmentum"	2069834	11
"534"	442258	"clear synaptic vesicles"	1322846	16
"535"	442258	"no soma siGOLD"	1314386	7
"536"	442258	"left"	1275210	16
"537"	462806	"fragmentum"	2069834	11
"538"	462806	"yyx"	1883308	13
"539"	462854	"connectome_frag"	2454845	11
"540"	462854	"connectome"	2450493	11
"541"	462854	"connectome_old"	2447951	11
"542"	462854	"fragmentum"	2069834	11
"543"	462854	"yyx"	1883308	13
"544"	464329	"fragmentum"	2069834	11
"545"	464329	"yyx"	1883308	13
"546"	466297	"fragmentum"	2069834	11
"547"	466297	"yyx"	1883308	13
"548"	478878	"fragmentum"	2069834	11
"549"	478878	"yyx"	1883308	13
"550"	478878	"head sensory group 4"	1923371	16
"551"	481765	"fragmentum"	2069834	11
"552"	481765	"yyx"	1883308	13
"553"	481765	"dense cored vesicles"	1224657	16
"554"	486449	"fragmentum"	2069834	11
"555"	486449	"yyx"	1883308	13
"556"	489205	"fragmentum"	2069834	11
"557"	489205	"yyx"	1883308	13
"558"	493192	"fragmentum"	2069834	11
"559"	493192	"yyx"	1883308	13
"560"	493610	"fragmentum"	2069834	11
"561"	493610	"yyx"	1883308	13
"562"	494063	"fragmentum"	2069834	11
"563"	494063	"yyx"	1883308	13
"564"	494063	"piece_eyecircuit"	662029	10
"565"	494284	"fragmentum"	2069834	11
"566"	494284	"piece 958055-T"	1746839	7
"567"	494284	"Merged: piece 980161-TC"	2367713	13
"568"	494284	"piece_eyecircuit"	662029	10
"569"	494284	"Merged: fragment 1460699"	2367717	13
"570"	494284	"connectome_frag"	2454845	11
"571"	494284	"connectome"	2450493	11
"572"	494284	"connectome_old"	2447951	11
"573"	494284	"fragment"	2029624	11
"574"	494284	"yyx"	1883308	13
